Name,ReleaseDate,Certificate,Rating,Runtime,Director,Genre,Grossing
The Imitation Game,"Nov 28, 2014",PG-13,4.2/5,114 minutes,Morten Tyldum,"Drama,Mystery & Suspense",
A Summer's Tale,"Jun 20, 2014",G,3.7/5,113 minutes,Eric Rohmer,"Art House & International,Drama,Romance","$198,126"
Gone Girl,"Oct 3, 2014",R,4.1/5,145 minutes,David Fincher,"Drama,Mystery & Suspense",
Love Is Strange,"Aug 22, 2014",R,3.5/5,98 minutes,Ira Sachs,"Drama,Special Interest","$1,932,818"
Ilo Ilo,"Apr 4, 2014",NR,3.8/5,99 minutes,Anthony Chen,Drama,
Jodorowsky's Dune,"Mar 21, 2014",PG-13,4.2/5,90 minutes,Frank Pavich,"Documentary,Science Fiction & Fantasy,Special Interest",
We Are the Best!,"May 30, 2014",NR,3.8/5,102 minutes,Lukas Moodysson,"Comedy,Drama,Musical & Performing Arts",
Blue Ruin,"Apr 25, 2014",R,3.8/5,90 minutes,Jeremy Saulnier,Mystery & Suspense,
Captain America: The Winter Soldier,"Apr 4, 2014",PG-13,4.3/5,136 minutes,"Joe Russo,Anthony Russo","Action & Adventure,Science Fiction & Fantasy","$228,636,083"
The Overnighters,"Oct 10, 2014",PG-13,4/5,90 minutes,Jesse Moss,"Documentary,Drama,Special Interest","$100,022"
Song Of The Sea,,,4.4/5,,,,
Ida,"May 2, 2014",PG-13,3.9/5,80 minutes,Pawel Pawlikowski,Drama,
The Missing Picture,"Mar 19, 2014",NR,3.8/5,96 minutes,Rithy Panh,"Documentary,Drama","$31,087"
Elaine Stritch: Shoot Me,"Feb 21, 2014",NR,3.9/5,80 minutes,Chiemi Karasawa,"Comedy,Documentary,Special Interest","$301,724"
Live Die Repeat: Edge of Tomorrow,"Jun 6, 2014",PG-13,4.2/5,113 minutes,Doug Liman,"Drama,Science Fiction & Fantasy","$77,121,429"
The Grand Budapest Hotel,"Mar 7, 2014",R,4.1/5,99 minutes,Wes Anderson,"Comedy,Drama","$56,939,515"
Dawn Of The Planet Of The Apes,"Jul 11, 2014",PG-13,4.2/5,130 minutes,Matt Reeves,"Action & Adventure,Drama,Science Fiction & Fantasy","$183,278,877"
Leviathan,"Dec 25, 2014",NR,3.9/5,140 minutes,Andrey Zvyagintsev,Drama,"$754,393"
Starred Up,"Aug 27, 2014",NR,4/5,106 minutes,David Mackenzie,Drama,
Mr. Turner,"Dec 19, 2014",R,3.3/5,149 minutes,Mike Leigh,Drama,
"Two Days, One Night","Dec 24, 2014",PG-13,3.8/5,95 minutes,"Jean-Pierre Dardenne,Luc Dardenne",Drama,
Citizenfour,"Oct 21, 2014",R,4.1/5,114 minutes,Laura Poitras,Documentary,
X-Men: Days of Future Past,"May 23, 2014",PG-13,4.3/5,131 minutes,Bryan Singer,"Action & Adventure,Science Fiction & Fantasy","$199,305,306"
Guardians of the Galaxy,"Aug 1, 2014",PG-13,4.4/5,121 minutes,James Gunn (II),"Action & Adventure,Science Fiction & Fantasy","$270,592,504"
Gloria,"Jan 24, 2014",R,3.5/5,108 minutes,Sebastián Lelio,"Art House & International,Drama","$1,587,655"
Snowpiercer,"Jun 27, 2014",R,3.7/5,126 minutes,Bong Joon Ho,Science Fiction & Fantasy,"$2,786,828"
Birdman,"Oct 17, 2014",R,3.9/5,119 minutes,Alejandro González Iñárritu,"Comedy,Drama",
Nightcrawler,"Oct 31, 2014",R,4/5,117 minutes,Dan Gilroy,"Drama,Mystery & Suspense",
Whiplash,"Oct 10, 2014",R,4.5/5,106 minutes,Damien Chazelle,Drama,
The LEGO Movie,"Feb 7, 2014",PG,4.3/5,101 minutes,"Phil Lord,Christopher Miller,Chris McKay","Action & Adventure,Animation,Comedy,Kids & Family","$244,870,202"
Life Itself,"Jul 4, 2014",R,4.1/5,120 minutes,Steve James (II),"Documentary,Special Interest,Television","$809,724"
The Tale of the Princess Kaguya,"Oct 17, 2014",PG,4.3/5,137 minutes,Isao Takahata,Art House & International,"$408,718"
Before Midnight,"May 24, 2013",R,4/5,108 minutes,Richard Linklater,"Drama,Romance","$8,114,507"
Her,"Dec 18, 2013",R,4/5,126 minutes,Spike Jonze,"Drama,Science Fiction & Fantasy,Special Interest,Romance","$17,901,029"
12 Years a Slave,"Oct 18, 2013",R,4.3/5,134 minutes,Steve McQueen (III),Drama,"$50,628,650"
Short Term 12,"Aug 23, 2013",R,4.3/5,21 minutes,Destin Daniel Cretton,Drama,
Capitalism: A Love Story,"Sep 23, 2009",R,3.6/5,120 minutes,Michael Moore,"Documentary,Special Interest","$14,342,792"
"Politist, adj. (Police, Adjective)","Dec 23, 2009",NR,3.3/5,115 minutes,Corneliu Porumboiu,"Art House & International,Comedy,Drama","$26,692"
Gravity,"Oct 4, 2013",PG-13,4/5,91 minutes,Alfonso Cuarón,"Drama,Science Fiction & Fantasy","$274,084,951"
Boyhood,"Jul 11, 2014",R,4/5,165 minutes,Richard Linklater,Drama,"$18,859,617"
A Town Called Panic (Panique au village),"Dec 16, 2009",NR,3.9/5,76 minutes,"Stéphane Aubier,Vincent Patar","Action & Adventure,Animation,Art House & International,Kids & Family","$165,349"
The Babadook,"Nov 28, 2014",NR,3.7/5,94 minutes,Jennifer Kent,"Drama,Horror,Mystery & Suspense",
Julie & Julia,"Aug 7, 2009",PG-13,3.5/5,123 minutes,Nora Ephron,"Comedy,Drama","$94,125,426"
The Young Victoria,"Dec 18, 2009",PG,3.5/5,105 minutes,Jean-Marc Vallée,Drama,"$10,900,000"
Invictus,"Dec 11, 2009",PG-13,3.6/5,134 minutes,Clint Eastwood,"Drama,Sports & Fitness","$37,431,431"
Bandslam,"Aug 14, 2009",PG,3.2/5,111 minutes,Todd Graff,"Comedy,Drama,Musical & Performing Arts","$5,205,343"
Triangle,"Oct 24, 2009",R,3.4/5,99 minutes,Christopher Smith (VIII),Mystery & Suspense,
Black Dynamite,"Oct 16, 2009",R,4/5,84 minutes,"Shawn Maurer,Scott Sanders","Action & Adventure,Comedy","$131,862"
Okuribito (Departures),"May 29, 2009",PG-13,4/5,131 minutes,Yojiro Takita,"Art House & International,Drama","$1,500,000"
The September Issue,"Sep 11, 2009",PG-13,3.5/5,90 minutes,R.J. Cutler,"Documentary,Special Interest","$3,670,036"
Broken Embraces,"Nov 20, 2009",R,3.7/5,128 minutes,Pedro Almodóvar,"Art House & International,Comedy,Drama,Mystery & Suspense","$4,900,000"
Soul Power,"Jul 10, 2009",PG-13,3.6/5,93 minutes,Jeffrey Levy-Hinte,"Documentary,Musical & Performing Arts","$200,000"
Michael Jackson's This Is It,"Oct 28, 2009",PG,4/5,121 minutes,Kenny Ortega,"Documentary,Musical & Performing Arts","$71,844,424"
Pontypool,"May 29, 2009",PG,3.5/5,95 minutes,Bruce McDonald,"Art House & International,Horror",
Bright Star,"May 15, 2009",PG,3.6/5,119 minutes,Jane Campion,"Drama,Romance","$4,341,275"
Collapse,"Nov 6, 2009",NR,4/5,85 minutes,Chris Smith,"Documentary,Special Interest",
The Hangover,"Jun 5, 2009",R,4/5,100 minutes,Todd Phillips,Comedy,"$277,313,371"
Gran Torino,"Jan 9, 2009",R,4.1/5,130 minutes,Clint Eastwood,Drama,"$148,055,047"
We Live in Public,"Aug 28, 2009",NR,3.7/5,89 minutes,Ondi Timoner,"Documentary,Special Interest",
Bakjwi (Thirst),"Apr 30, 2009",R,3.6/5,133 minutes,Chan-wook Park,"Art House & International,Drama,Horror","$296,441"
No Impact Man: The Documentary,"Sep 4, 2009",NR,3.5/5,92 minutes,"Justin Schein,Laura Gabbert","Documentary,Special Interest",
The Informant!,"Sep 18, 2009",R,2.6/5,108 minutes,Steven Soderbergh,"Comedy,Drama,Mystery & Suspense","$33,278,731"
Paranormal Activity,"Sep 25, 2009",R,3.2/5,86 minutes,Oren Peli,"Horror,Mystery & Suspense","$107,901,736"
Disneynature Earth,"Apr 22, 2009",G,3.8/5,99 minutes,"Mark Linfield,Alastair Fothergill",Documentary,"$31,959,266"
Treeless Mountain,"Apr 22, 2009",PG,3.7/5,89 minutes,So Yong Kim,"Art House & International,Drama",
"I Love You, Man","Mar 20, 2009",R,2.7/5,105 minutes,John Hamburg,"Comedy,Drama","$71,300,000"
Pranzo di Ferragosto (Mid-August Lunch),"Apr 1, 2009",G,3.5/5,75 minutes,"Gianni Di Gregorio,Gianni Di Venanzo","Art House & International,Comedy,Drama","$600,000"
La Danse -- Le Ballet de l'Opera de Paris,"Nov 4, 2009",NR,3.6/5,159 minutes,Frederick Wiseman,"Documentary,Musical & Performing Arts","$500,000"
Whip It,"Oct 2, 2009",PG-13,3.7/5,111 minutes,Drew Barrymore,"Comedy,Drama","$13,000,000"
Skin,"Oct 30, 2009",PG-13,3.8/5,107 minutes,Anthony Fabian,"Art House & International,Drama,Mystery & Suspense",
The White Ribbon (Das weisse Band),"Dec 30, 2009",R,3.5/5,144 minutes,Michael Haneke,"Art House & International,Drama","$2,077,054"
Bad Lieutenant: Port of Call New Orleans,"Nov 20, 2009",R,3.2/5,121 minutes,Werner Herzog,"Drama,Mystery & Suspense","$1,616,556"
The House of the Devil,"Oct 30, 2009",R,3.3/5,93 minutes,Ti West,Horror,
Tyson,"Apr 24, 2009",R,3.7/5,90 minutes,James Toback,"Documentary,Sports & Fitness","$825,450"
Amreeka,"Sep 4, 2009",PG-13,3.7/5,96 minutes,Cherien Dabis,Drama,"$417,889"
Big Fan,"Aug 28, 2009",R,3.3/5,85 minutes,Robert D. Siegel,"Comedy,Drama","$105,339"
Séraphine,"Jun 5, 2009",PG,3.6/5,121 minutes,Martin Provost,"Art House & International,Drama","$557,682"
Me and Orson Welles,"Nov 25, 2009",PG-13,3.3/5,119 minutes,Richard Linklater,"Art House & International,Comedy,Drama","$1,070,524"
The Girl with the Dragon Tattoo,"Feb 27, 2009",R,4/5,154 minutes,Niels Arden Oplev,"Art House & International,Drama,Mystery & Suspense","$10,100,000"
Avatar,"Dec 18, 2009",PG-13,4.1/5,162 minutes,James Cameron,"Action & Adventure,Comedy,Mystery & Suspense,Science Fiction & Fantasy","$749,700,000"
500 Days of Summer,"Jul 17, 2009",PG-13,3.8/5,95 minutes,Marc Webb,"Comedy,Drama,Romance","$32,118,648"
Harry Potter and the Half-Blood Prince,"Jul 15, 2009",PG,3.8/5,154 minutes,David Yates (II),"Action & Adventure,Drama,Kids & Family,Mystery & Suspense,Science Fiction & Fantasy","$301,920,409"
Il Divo,"Apr 23, 2009",NR,3.8/5,117 minutes,Paolo Sorrentino,"Art House & International,Drama","$200,000"
Etz Limon (Lemon Tree),"Apr 17, 2009",PG,3.8/5,106 minutes,Eran Riklis,"Art House & International,Drama,Romance","$467,072"
A Single Man,"Dec 11, 2009",R,3.8/5,101 minutes,Tom Ford (VIII) ,Drama,"$9,098,668"
The Princess and the Frog,"Dec 11, 2009",G,3.7/5,95 minutes,"John Musker,Ron Clements","Animation,Comedy,Kids & Family,Musical & Performing Arts,Science Fiction & Fantasy,Romance","$104,374,107"
Maria Larssons eviga ögonblick (Everlasting Moments) (Maria Larsson's Everlasting Moment),"Mar 6, 2009",PG,3.9/5,125 minutes,Jan Troell,"Art House & International,Drama","$1,500,000"
Every Little Step,"Apr 17, 2009",PG-13,4/5,93 minutes,"Adam Del Deo,James D. Stern","Documentary,Drama,Musical & Performing Arts","$1,528,106"
Cloudy With a Chance of Meatballs,"Sep 18, 2009",PG,3.2/5,81 minutes,"Chris Miller,Christopher Miller,Phil Lord","Animation,Comedy,Kids & Family","$124,870,275"
State of Play,"Apr 17, 2009",PG-13,3.6/5,127 minutes,Kevin Macdonald,"Drama,Mystery & Suspense","$36,965,395"
Sin Nombre,"Mar 20, 2009",R,4/5,96 minutes,Cary Joji Fukunaga,"Drama,Mystery & Suspense","$2,436,392"
"Yoo-hoo, Mrs. Goldberg","Jul 10, 2009",G,3.4/5,90 minutes,Aviva Kempner,"Documentary,Television","$722,545"
Adventureland,"Apr 3, 2009",R,3.3/5,106 minutes,Greg Mottola,"Comedy,Drama","$15,900,000"
World's Greatest Dad,"Aug 21, 2009",R,3.4/5,99 minutes,Bobcat Goldthwait,"Comedy,Drama","$166,467"
Red Cliff (Chi Bi),"Nov 20, 2009",R,3.8/5,148 minutes,John Woo,"Action & Adventure,Art House & International,Classics,Drama","$526,841"
La Nana (The Maid),"Oct 16, 2009",NC17,3.8/5,117 minutes,Sebastián Silva,"Art House & International,Drama","$500,000"
Moon,"Jun 12, 2009",R,4/5,97 minutes,Duncan Jones,"Mystery & Suspense,Science Fiction & Fantasy","$4,785,434"
A Serious Man,"Oct 2, 2009",R,3.5/5,106 minutes,"Roger Deakins,Joel Coen,Ethan Coen","Comedy,Drama","$9,190,525"
Of Time and the City,"Jan 23, 2009",NR,3.5/5,77 minutes,Terence Davies,Documentary,
Tokyo Sonata (Tokyo Sonata),"Mar 13, 2009",PG-13,3.7/5,121 minutes,Kiyoshi Kurosawa,"Art House & International,Drama","$103,045"
The Damned United,"Oct 9, 2009",R,3.7/5,97 minutes,Tom Hooper,"Drama,Sports & Fitness","$315,306"
Goodbye Solo,"Mar 27, 2009",R,3.9/5,91 minutes,Ramin Bahrani,"Comedy,Drama","$809,220"
The Messenger,"Nov 13, 2009",R,3.6/5,113 minutes,Oren Moverman,"Drama,Romance","$1,006,655"
L'Heure d'été (Summer Hours),"May 15, 2009",NR,3.3/5,102 minutes,Olivier Assayas,"Art House & International,Drama,Kids & Family","$1,566,427"
Ponyo,"Aug 14, 2009",G,3.9/5,101 minutes,Hayao Miyazaki,"Action & Adventure,Animation,Art House & International,Kids & Family,Science Fiction & Fantasy","$15,100,000"
Katyn,"Feb 18, 2009",NR,3.7/5,121 minutes,Andrzej Wajda,"Art House & International,Drama",
Somers Town,"Jul 15, 2009",NR,3.5/5,75 minutes,Shane Meadows,"Art House & International,Comedy,Drama",
Good Hair,"Oct 9, 2009",PG-13,3.5/5,96 minutes,Jeff Stilson,"Comedy,Documentary,Special Interest","$4,061,847"
Crazy Heart,"Dec 16, 2009",R,3.6/5,112 minutes,Scott Cooper,"Drama,Musical & Performing Arts,Romance","$38,349,555"
Under the Sea 3D,"Feb 13, 2009",G,3.6/5,41 minutes,Howard Hall,Documentary,"$35,098,986"
Zombieland,"Oct 2, 2009",R,3.5/5,88 minutes,Ruben Fleischer,"Comedy,Horror","$75,590,286"
Crude,"Sep 9, 2009",NR,4/5,100 minutes,Joe Berlinger,"Documentary,Special Interest","$170,295"
Tulpan,"Apr 1, 2009",G,3.5/5,100 minutes,"Sergei Dvortsevoy,Sergey Dvortsevoy,Sergay Dvortsevoy","Art House & International,Comedy,Drama",
Precious: Based on the Novel Push by Sapphire,"Nov 6, 2009",R,3.6/5,110 minutes,Lee Daniels,Drama,"$47,536,959"
"Food, Inc.","Jun 12, 2009",PG,3.9/5,94 minutes,Robert Kenner,"Documentary,Special Interest","$4,238,694"
Revanche,"May 1, 2009",NR,3.8/5,121 minutes,Götz Spielmann,"Art House & International,Drama,Romance",
Sweetgrass,"Sep 26, 2009",NR,3.5/5,105 minutes,"Lucien Castaing-Taylor,Ilisa Barbash","Documentary,Special Interest,Western","$207,473"
Mary and Max,"Jan 15, 2009",G,4.2/5,92 minutes,Adam Elliot,"Animation,Comedy,Drama",
Inglourious Basterds,"Aug 21, 2009",R,4/5,153 minutes,Quentin Tarantino,"Action & Adventure,Drama","$120,523,073"
Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,"Jun 1, 2009",NR,4.1/5,93 minutes,"Judith Ehrlich,Rick Goldsmith",Documentary,"$453,483"
Coraline,"Feb 6, 2009",PG,3.7/5,101 minutes,Henry Selick,"Action & Adventure,Animation,Kids & Family,Science Fiction & Fantasy","$75,169,351"
District 9,"Aug 14, 2009",R,3.5/5,112 minutes,Neill Blomkamp,"Action & Adventure,Art House & International,Drama,Science Fiction & Fantasy","$115,646,235"
Up in the Air,"Dec 4, 2009",R,3.7/5,109 minutes,Jason Reitman,"Comedy,Drama,Romance","$83,775,048"
In the Loop,"Jul 24, 2009",NR,3.1/5,102 minutes,Armando Iannucci,"Art House & International,Comedy","$2,251,324"
An Education,"Oct 9, 2009",PG-13,3.8/5,101 minutes,Lone Scherfig,"Art House & International,Drama","$12,512,069"
Avaze gonjeshk-ha (The Song of Sparrows),"Apr 3, 2009",PG,3.9/5,96 minutes,Majid Majidi,"Art House & International,Drama",
Drag Me to Hell,"May 29, 2009",PG-13,3/5,99 minutes,Sam Raimi,"Horror,Mystery & Suspense","$42,100,000"
Flight,"Nov 2, 2012",R,3.8/5,138 minutes,Robert Zemeckis,"Drama,Mystery & Suspense","$89,400,000"
Afghan Star,"Jun 26, 2009",NR,3.5/5,87 minutes,Havana Marking,"Art House & International,Documentary,Musical & Performing Arts,Special Interest,Television",
Anvil! The Story of Anvil,"Apr 10, 2009",NR,4.1/5,90 minutes,Sacha Gervasi,"Documentary,Drama,Musical & Performing Arts","$492,513"
The Hurt Locker,"Jun 26, 2009",R,3.9/5,131 minutes,Kathryn Bigelow,"Action & Adventure,Drama","$15,700,000"
Haywire,"Jan 20, 2012",R,2.9/5,93 minutes,Steven Soderbergh,"Action & Adventure,Drama,Mystery & Suspense","$18,934,858"
Magic Mike,"Jun 29, 2012",R,3.5/5,110 minutes,Steven Soderbergh,"Comedy,Drama","$113,709,992"
The Cove,"Apr 25, 2009",PG-13,4.3/5,91 minutes,Louie Psihoyos,Documentary,"$619,467"
Smashed,"Oct 12, 2012",R,3.5/5,81 minutes,James Ponsoldt,"Comedy,Drama","$375,981"
Star Trek,"May 7, 2009",PG-13,4.1/5,127 minutes,J.J. Abrams,"Action & Adventure,Drama,Science Fiction & Fantasy","$257,704,099"
The Big Picture,"Oct 12, 2012",PG-13,3.5/5,92 minutes,Eric Lartigau,"Art House & International,Documentary,Drama,Special Interest","$158,411"
Snabba cash (Easy Money),"Jul 11, 2012",R,3.4/5,125 minutes,Daniel Espinosa,"Action & Adventure,Art House & International,Drama,Mystery & Suspense","$100,000"
Declaration of War,"Jan 27, 2012",NR,3.6/5,100 minutes,Valérie Donzelli,"Art House & International,Comedy,Drama,Special Interest","$46,225"
Fantastic Mr. Fox,"Nov 25, 2009",PG,3.9/5,87 minutes,Wes Anderson,"Action & Adventure,Animation,Comedy,Kids & Family","$21,000,000"
Brave,"Jun 22, 2012",PG,3.9/5,93 minutes,"Brenda Chapman,Mark Andrews","Animation,Comedy,Kids & Family","$237,282,182"
Your Sister's Sister,"Jun 15, 2012",R,3.5/5,91 minutes,Lynn Shelton,"Comedy,Drama","$1,041,358"
Sleepwalk With Me,"Aug 24, 2012",PG-13,3.6/5,90 minutes,"Mike Birbiglia,Seth Barrish","Comedy,Drama","$2,263,436"
Rundskop (Bullhead),"Feb 17, 2012",R,3.8/5,124 minutes,"Michaël R. Roskam,Michael A. Roskam","Art House & International,Drama","$73,567"
Starlet,"Nov 9, 2012",NR,3.6/5,105 minutes,Sean Baker (II) ,"Comedy,Drama","$59,014"
Middle of Nowhere,"Oct 12, 2012",R,3.5/5,99 minutes,Ava DuVernay,Drama,"$195,246"
De rouille et d'os (Rust and Bone),"Nov 23, 2012",R,3.8/5,122 minutes,Jacques Audiard,"Drama,Mystery & Suspense","$1,900,000"
Miss Bala,"Jan 20, 2012",R,3.4/5,113 minutes,Gerardo Naranjo,"Action & Adventure,Drama",
The Impossible,"Dec 21, 2012",PG-13,4/5,113 minutes,J.A. Bayona,"Action & Adventure,Drama","$18,996,755"
Chico & Rita,"Feb 10, 2012",NR,3.8/5,94 minutes,"Tono Errando,Javier Mariscal,Fernando Trueba","Animation,Drama","$247,455"
Polisse,"May 18, 2012",NR,3.8/5,127 minutes,Maïwenn,"Art House & International,Drama","$100,000"
Boy,"Mar 2, 2012",NR,4/5,87 minutes,Taika Waititi,"Comedy,Drama","$242,008"
Tabu,"Dec 26, 2012",NR,3.8/5,119 minutes,Indra Tirtana,"Drama,Special Interest",
Seven Psychopaths,"Oct 12, 2012",R,3.7/5,109 minutes,Martin McDonagh,Comedy,"$15,000,000"
La fée (The Fairy),"Feb 24, 2012",NR,3.3/5,93 minutes,"Fiona Gordon (II) ,Dominique Abel,Bruno Romy","Art House & International,Comedy,Drama","$18,417"
Neil Young Journeys,"Jun 29, 2012",PG,3.4/5,87 minutes,Jonathan Demme,Documentary,"$214,588"
Keep the Lights On,"Sep 7, 2012",NR,3.5/5,101 minutes,Ira Sachs,"Drama,Gay & Lesbian","$243,536"
Robot & Frank,"Aug 17, 2012",PG-13,3.7/5,90 minutes,Jake Schreier,"Comedy,Drama,Science Fiction & Fantasy","$3,200,000"
The Pirates! Band of Misfits,"Apr 27, 2012",PG,3.5/5,88 minutes,"Peter Lord,Jeff Newitt","Action & Adventure,Animation,Comedy","$31,051,126"
Chronicle,"Feb 3, 2012",PG-13,3.7/5,83 minutes,Josh Trank ,"Art House & International,Drama,Horror,Mystery & Suspense,Science Fiction & Fantasy","$60,800,000"
Bully,"Apr 13, 2012",PG-13,3.9/5,98 minutes,Lee Hirsch,"Documentary,Special Interest","$44,667,095"
The Raid: Redemption,"Mar 23, 2012",R,4.1/5,100 minutes,Gareth Evans,"Action & Adventure,Art House & International,Drama","$1,200,000"
The Perks of Being a Wallflower,"Sep 21, 2012",PG-13,4.2/5,103 minutes,Stephen Chbosky,Drama,"$14,900,000"
The Turin Horse,"Feb 10, 2012",NR,3.8/5,146 minutes,"Bela Tarr,Ágnes Hranitzky","Art House & International,Drama","$53,690"
End of Watch,"Sep 21, 2012",R,4.1/5,109 minutes,David Ayer,Drama,"$39,100,000"
21 Jump Street,"Mar 16, 2012",R,4/5,109 minutes,"Christopher Miller,Phil Lord","Action & Adventure,Comedy","$134,000,000"
A Royal Affair,"Nov 9, 2012",R,3.9/5,137 minutes,Nikolaj Arcel,"Art House & International,Drama","$1,545,726"
The Master,"Sep 14, 2012",R,3.4/5,138 minutes,Paul Thomas Anderson,Drama,"$15,800,000"
In Darkness,"Feb 10, 2012",R,3.9/5,145 minutes,Agnieszka Holland,Drama,"$1,038,733"
"Electric Boogaloo: The Wild, Untold Story of Cannon Films","Jan 1, 2012",R,3.8/5,107 minutes,Mark Hartley,"Documentary,Television",
Wreck-it Ralph,"Nov 2, 2012",PG,4.1/5,92 minutes,Rich Moore,"Animation,Comedy,Kids & Family","$189,412,677"
Bernie,"Apr 27, 2012",PG-13,3.7/5,104 minutes,Richard Linklater,Comedy,"$5,900,000"
Beasts of the Southern Wild,"Jun 27, 2012",PG-13,3.8/5,91 minutes,Benh Zeitlin,Drama,"$12,784,397"
"Turn Me On, Dammit!","Mar 30, 2012",NR,3.6/5,75 minutes,Jannicke Systad Jacobsen,Comedy,"$65,324"
ParaNorman,"Aug 17, 2012",PG,3.7/5,93 minutes,"Sam Fell,Chris Butler","Action & Adventure,Animation,Comedy,Kids & Family","$55,994,557"
Arbitrage,"Sep 14, 2012",R,3.5/5,107 minutes,Nicholas Jarecki,"Drama,Mystery & Suspense","$7,918,283"
Once Upon a Time in Anatolia,"Jan 4, 2012",NR,3.7/5,150 minutes,Nuri Bilge Ceylan,"Art House & International,Drama","$138,730"
Frankenweenie,"Oct 5, 2012",PG,3.7/5,90 minutes,Tim Burton,"Animation,Comedy,Horror,Science Fiction & Fantasy","$35,287,788"
The Hunger Games,"Mar 23, 2012",PG-13,4.1/5,142 minutes,Gary Ross,"Drama,Mystery & Suspense,Science Fiction & Fantasy","$407,981,652"
Side by Side,"Aug 17, 2012",NR,4/5,98 minutes,"Christopher Kenneally,Chris Kenneally","Documentary,Television","$28,592"
Compliance,"Aug 17, 2012",R,3.4/5,90 minutes,Craig Zobel,"Drama,Mystery & Suspense,Special Interest","$318,622"
Safety Not Guaranteed,"Jun 8, 2012",R,3.9/5,86 minutes,Colin Trevorrow,"Comedy,Drama","$4,007,792"
I Wish,"May 11, 2012",PG,3.9/5,128 minutes,Hirokazu Koreeda,"Art House & International,Drama","$145,697"
Footnote,"Mar 9, 2012",PG,3.7/5,105 minutes,Joseph Cedar,Drama,"$1,900,000"
First Position,"May 4, 2012",NR,4.1/5,90 minutes,Bess Kargman,"Art House & International,Comedy,Documentary,Drama,Kids & Family,Special Interest","$894,471"
Diana Vreeland: The Eye Has To Travel,"Sep 21, 2012",PG-13,4/5,92 minutes,"Lisa Immordino Vreeland,Bent-Jorgen Perlmutt,Frédéric Tcheng",Documentary,"$619,054"
Elena,"May 16, 2012",NR,3.7/5,109 minutes,Andrey Zvyagintsev,Drama,
Sing Your Song,"Jan 13, 2012",NR,4.1/5,100 minutes,Susanne Rostock,"Documentary,Musical & Performing Arts,Special Interest,Television","$47,718"
"Farewell, My Queen","Jul 13, 2012",R,3.3/5,100 minutes,Benoît Jacquot,"Art House & International,Drama","$611,026"
The House I Live In,"Oct 5, 2012",NR,4.1/5,110 minutes,Eugene Jarecki,"Documentary,Special Interest","$210,752"
The Central Park Five,"Nov 23, 2012",NR,4.1/5,120 minutes,"Ken Burns,Sarah Burns,David McMahon","Documentary,Special Interest","$273,747"
